0.495771;2.234312;0.2429268;1;3.254689;0.6004533;3.925107;1.363872;0.8099598;0.9073105;True;False;False;False
0.5957229;2.551642;0;1;3.194026;0.5950617;3.877189;1.423133;0.8172568;0.9043465;True;False;False;False
0.6957161;2.551643;0;1;3.12649;0.587983;3.840474;1.490747;0.8239486;0.9024912;True;False;False;False
0.7957144;2.675933;0.1650429;1;3.043216;0.5812015;0.931474;1.570681;0.8334255;0.8980383;True;False;True;False
0.8956203;3.912806;0.4684116;1;2.919486;0.5757214;0.6984864;1.676677;0.8551856;0.8844575;True;False;True;False
0.9950523;5.94079;0.2837699;1;2.782631;0.5654922;0.6269708;1.805105;0.8796222;0.8826495;True;False;False;False
1.094572;6.815266;0;1;2.664448;0.5520262;0.5953273;1.923918;0.8934912;0.8668324;True;False;False;False
1.194486;6.815266;0;1;2.547245;0.5463249;0.5919888;2.041713;0.9021714;0.8523407;True;False;False;False
1.294478;6.815266;0;1;2.419877;0.5513757;0.5889153;2.169274;0.9238817;0.8361076;True;False;False;False
1.394477;6.815266;0;1;2.282455;0.5716669;0.5768237;2.306759;0.9069815;0.8030744;True;False;False;False
1.494477;6.815266;0;1;2.135016;0.5934962;0.5535218;2.454218;0.8887913;0.7341533;True;False;False;False
1.594453;6.278235;-0.2500191;1;1.990759;0.6090741;0.5502832;2.588567;0.861515;0.7193;True;False;False;True
1.693321;3.329536;-0.4973913;1;1.872867;0.6067287;0.5745304;2.689289;0.8303912;0.7221085;True;False;False;False
1.789403;359.9031;-0.3822537;1;1.739085;0.6298147;0.6030806;2.767496;0.792744;0.7354813;True;False;False;True
1.883192;355.349;-0.7083437;1;1.608288;0.6614532;0.63776;2.690016;0.6940177;0.7834467;True;False;False;True
1.96647;347.6606;-0.9807809;1;1.522158;0.7513047;0.6928715;2.344946;0.6792933;0.8331264;True;False;False;True
2.03286;338.406;-0.9512437;1;1.472858;0.8398767;0.755857;1.843389;0.7051872;0.8971927;True;False;False;True
2.086694;328.2277;-1;1;1.395173;0.8321753;0.8408303;1.506853;0.7709302;0.9202849;True;False;False;True
2.130113;317.7043;-1;1;1.371269;0.8054305;0.9589195;1.275089;0.839693;0.8265265;True;False;False;True
2.167325;306.9773;-0.951973;1;1.433559;0.7678974;1.301124;1.266499;0.8405724;0.7353048;True;False;False;False
2.208493;297.9005;-0.6503535;1;1.542924;0.7365549;4.179791;1.35556;0.8061347;0.6888988;True;False;False;False
2.270965;291.9265;-0.5067846;1;1.857597;0.7297069;0.8585497;1.500365;0.7180827;0.5864891;True;False;False;True
2.341594;284.6066;-0.8232937;1;2.608268;0.7053914;0.9014936;1.591436;0.6407903;0.5158706;True;False;False;True
2.39108;273.6622;-1;1;6.590087;0.6662894;1.046214;1.587411;0.5116345;0.498691;True;False;False;True
2.417936;262.5421;-0.7708273;1;3.429311;0.6182653;1.226459;1.461825;0.4537586;0.5487677;True;False;False;False
2.4616;255.991;0.060672;1;1.950794;0.5664045;1.055559;1.459326;0.4712741;0.6728582;True;False;True;False
2.553716;258.3059;0.3584439;1;2.394606;0.5034228;0.6701703;1.861227;0.5306213;0.7423426;True;False;True;False
